               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092528,            0.038067,            0.053484,             0.87937,            0.076923,             0.10781,            0.027321,             0.07388,            0.023257,             0.04852,            0.070545,           0.0032727,           0.0032727
                   1,            0.070441,            0.029085,            0.036362,             0.57179,             0.37758,             0.24061,            0.089759,            0.062116,            0.017072,             0.03219,            0.040415,           0.0064753,           0.0064753
                   2,            0.067555,            0.025068,            0.027152,             0.58057,             0.31055,             0.19316,            0.071547,            0.066584,            0.014588,            0.028748,            0.010152,           0.0095458,           0.0095458
                   3,            0.062926,            0.024041,            0.022583,             0.73002,             0.32967,             0.40936,             0.21119,            0.056583,            0.014292,            0.021481,            0.009406,            0.009406,            0.009406
                   4,            0.053715,              0.0212,            0.018371,              0.5572,             0.59985,             0.69082,             0.29088,            0.041704,            0.013434,            0.018179,            0.009406,            0.009406,            0.009406
                   5,            0.049852,            0.020172,            0.014927,             0.80077,              0.5643,             0.81939,             0.37528,            0.039481,            0.012663,            0.018925,            0.009208,            0.009208,            0.009208
                   6,            0.046662,            0.020269,            0.013421,             0.75505,             0.62029,             0.65211,             0.32844,            0.039077,             0.01178,            0.017511,             0.00901,             0.00901,             0.00901
                   7,            0.043991,            0.019899,            0.012005,             0.63704,              0.6952,              0.6006,             0.33678,            0.039722,            0.011742,            0.019131,            0.008812,            0.008812,            0.008812
                   8,            0.041526,            0.018166,            0.011531,             0.76107,             0.62926,             0.69374,             0.41277,            0.031585,            0.011757,            0.022205,            0.008614,            0.008614,            0.008614
                   9,            0.041806,            0.020132,           0.0096665,             0.79658,             0.58723,              0.6534,             0.37592,            0.036266,            0.011947,            0.020004,            0.008416,            0.008416,            0.008416
                  10,            0.039136,            0.018768,           0.0084143,             0.86499,             0.63218,             0.69993,             0.45135,             0.03154,            0.010814,            0.012328,            0.008218,            0.008218,            0.008218
                  11,            0.038007,            0.018768,           0.0093345,             0.89213,             0.67882,             0.69495,              0.4505,            0.031856,            0.010707,           0.0097244,             0.00802,             0.00802,             0.00802
                  12,            0.038042,            0.017224,           0.0083453,             0.81572,             0.63384,             0.68435,              0.4453,            0.031283,            0.012526,            0.014108,            0.007822,            0.007822,            0.007822
                  13,            0.037366,            0.018268,           0.0080762,             0.79711,             0.64024,             0.64902,             0.42979,            0.030323,            0.012301,            0.016873,            0.007624,            0.007624,            0.007624
                  14,            0.035474,            0.018129,           0.0078739,             0.91452,             0.66303,             0.73252,             0.45721,             0.03169,             0.01115,            0.014644,            0.007426,            0.007426,            0.007426
                  15,            0.036211,            0.017911,           0.0073618,             0.86868,             0.70163,             0.74989,             0.48449,            0.030948,            0.010512,            0.015246,            0.007228,            0.007228,            0.007228
                  16,            0.035353,            0.017121,           0.0070603,             0.86926,             0.63311,             0.68056,              0.4379,            0.029697,            0.011786,            0.018805,             0.00703,             0.00703,             0.00703
                  17,            0.034913,            0.017096,            0.007023,              0.8612,             0.70558,             0.71556,             0.49847,            0.026573,            0.010216,            0.011677,            0.006832,            0.006832,            0.006832
                  18,            0.033175,            0.016442,             0.00684,             0.82901,             0.70533,             0.76207,             0.52017,            0.026971,            0.010755,             0.01201,            0.006634,            0.006634,            0.006634
                  19,            0.031995,            0.016712,           0.0067364,             0.90068,             0.67506,             0.74588,             0.52138,            0.027591,            0.010583,             0.01929,            0.006436,            0.006436,            0.006436
                  20,            0.032584,            0.017052,           0.0062141,              0.8502,             0.66633,             0.71383,             0.51141,            0.025404,            0.010978,            0.016824,            0.006238,            0.006238,            0.006238
                  21,             0.03177,             0.01659,           0.0065125,             0.88761,             0.65509,             0.72165,             0.47284,            0.031136,            0.011007,            0.013438,             0.00604,             0.00604,             0.00604
                  22,            0.030935,            0.016329,           0.0053359,             0.69881,             0.69238,               0.724,             0.47591,            0.028131,            0.010833,            0.010625,            0.005842,            0.005842,            0.005842
                  23,            0.030935,            0.016847,           0.0056624,             0.68492,             0.69796,             0.72605,             0.52436,            0.025319,            0.010314,           0.0097866,            0.005644,            0.005644,            0.005644
                  24,             0.03023,            0.016138,           0.0044194,              0.9672,             0.66297,             0.73457,             0.49844,            0.027028,            0.010418,            0.008844,            0.005446,            0.005446,            0.005446
                  25,            0.029523,            0.015398,           0.0044163,             0.95823,             0.66726,             0.70828,             0.51339,              0.0252,            0.011942,           0.0089046,            0.005248,            0.005248,            0.005248
                  26,            0.030348,            0.015991,           0.0044247,             0.88674,             0.71701,             0.73821,             0.52476,            0.025158,            0.010233,            0.009449,             0.00505,             0.00505,             0.00505
                  27,              0.0283,            0.014721,           0.0044739,             0.94418,             0.67502,             0.71859,             0.53312,            0.024718,            0.010693,            0.012878,            0.004852,            0.004852,            0.004852
                  28,            0.028793,             0.01549,           0.0039124,             0.94669,             0.67341,             0.71276,             0.51985,            0.024518,            0.011026,            0.010388,            0.004654,            0.004654,            0.004654
                  29,            0.028024,            0.015436,           0.0043837,             0.92587,             0.72177,             0.74102,             0.51652,            0.026933,            0.010512,            0.010315,            0.004456,            0.004456,            0.004456
                  30,            0.028019,              0.0155,           0.0035573,             0.95899,             0.68871,              0.7492,             0.54424,            0.024638,            0.010063,           0.0084351,            0.004258,            0.004258,            0.004258
                  31,            0.026715,            0.014961,           0.0037285,             0.89972,             0.71576,             0.73277,             0.52531,            0.025415,            0.010366,           0.0097488,             0.00406,             0.00406,             0.00406
                  32,            0.027029,            0.014901,           0.0037476,             0.92962,             0.68775,             0.73402,             0.53709,            0.023882,            0.010376,           0.0074808,            0.003862,            0.003862,            0.003862
                  33,            0.026357,            0.015115,           0.0033276,             0.95317,              0.6807,             0.72677,             0.53876,            0.024485,            0.010903,           0.0088009,            0.003664,            0.003664,            0.003664
                  34,            0.025484,             0.01409,           0.0031081,             0.73705,              0.6608,             0.72387,             0.53822,            0.023733,            0.010348,            0.015434,            0.003466,            0.003466,            0.003466
                  35,            0.025456,            0.013948,           0.0032901,             0.91164,             0.66978,             0.71473,             0.52019,            0.023767,            0.010414,             0.01037,            0.003268,            0.003268,            0.003268
                  36,            0.025807,            0.014487,           0.0030449,             0.72458,             0.71159,             0.72929,             0.54503,            0.022352,            0.010254,            0.011683,             0.00307,             0.00307,             0.00307
                  37,            0.025295,            0.013391,           0.0029439,             0.71703,             0.71544,             0.72177,             0.55174,            0.022939,            0.010283,            0.012052,            0.002872,            0.002872,            0.002872
                  38,             0.02407,             0.01389,           0.0028837,              0.9514,             0.65832,             0.73131,             0.53832,            0.022854,           0.0098512,           0.0094694,            0.002674,            0.002674,            0.002674
                  39,            0.023895,            0.014038,           0.0030229,              0.7688,             0.66575,             0.72627,              0.5489,             0.02257,            0.010859,           0.0094311,            0.002476,            0.002476,            0.002476
                  40,            0.023301,            0.012711,           0.0026567,             0.97256,             0.65118,             0.71205,             0.53809,            0.022265,            0.010648,           0.0094084,            0.002278,            0.002278,            0.002278
                  41,            0.023144,            0.013352,           0.0028729,              0.9183,             0.65887,             0.72149,              0.5517,            0.021407,           0.0098531,            0.014337,             0.00208,             0.00208,             0.00208
                  42,            0.023375,            0.013624,           0.0030852,             0.70411,             0.72879,              0.7295,             0.54941,             0.02174,            0.010751,             0.01239,            0.001882,            0.001882,            0.001882
                  43,            0.022668,            0.013858,           0.0028958,             0.69061,             0.70193,             0.72054,             0.55342,            0.022073,            0.010519,             0.01259,            0.001684,            0.001684,            0.001684
                  44,             0.02274,            0.013405,           0.0025601,             0.91794,             0.69424,             0.73076,             0.55395,            0.021853,            0.010113,            0.014622,            0.001486,            0.001486,            0.001486
                  45,             0.02193,            0.013332,           0.0024676,             0.94031,             0.69763,             0.72375,             0.54214,             0.02183,            0.010129,            0.013824,            0.001288,            0.001288,            0.001288
                  46,            0.021522,            0.012759,           0.0022601,             0.93871,              0.7025,             0.72843,             0.55554,            0.021185,            0.010282,            0.011965,             0.00109,             0.00109,             0.00109
                  47,            0.021091,             0.01224,           0.0023901,             0.94755,              0.7081,             0.73035,             0.55839,            0.020962,           0.0099554,            0.011367,            0.000892,            0.000892,            0.000892
                  48,              0.0208,            0.012608,           0.0025448,             0.94303,             0.71248,             0.72355,             0.55179,            0.021207,            0.010035,            0.010546,            0.000694,            0.000694,            0.000694
                  49,            0.020655,            0.012411,           0.0021981,             0.95428,             0.71436,             0.72448,             0.56459,            0.020674,           0.0099745,           0.0090597,            0.000496,            0.000496,            0.000496
